id	data.SRR941816.sorted.bam	data.SRR941817.sorted.bam	data.SRR941818.sorted.bam	data.SRR941819.sorted.bam
gene-YAL068C	9.43839302570048	8.5769850655774	6.35058046436962	5.14187405703878
gene-YAL067W-A	0	0	0	0
gene-YAL067C	78.2038279272325	36.9882480953025	15.876451160924	9.4267691045711
gene-YAL065C	7.41588023447895	1.60818469979576	6.35058046436962	2.57093702851939
gene-YAL064W-B	0.674170930407177	1.60818469979576	0	0
gene-YAL064C-A	0	0.536061566598587	3.17529023218481	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	18.876786051401	10.7212313319717	6.35058046436962	2.57093702851939
gene-YAL062W	5121.00238737292	586.987415425453	415.96302041621	137.973620530541
gene-YAL061W	1285.64396428649	1040.49550076786	101.609287429914	70.27227877953
gene-YAL060W	2747.92071233965	2587.03312040478	266.724379503524	284.517031156146
gene-YAL059W	91.0130756049689	136.159637916041	1676.55324259358	1432.86890389481
gene-YAL058W	57.30452908461	73.4404346240065	174.640962770164	167.11090685376
gene-YAL056W	944.513473500455	627.728094486946	82.557546036805	67.7013417510106
gene-YAL055W	151.688459341615	113.645052118901	38.1034827862177	31.7082233517391
gene-YAL054C	15687.957550575	3415.2482407996	501.6958566852	107.122376188308
gene-YAL053W	1299.12738289463	413.839529414109	1228.83731985552	790.134646764959
gene-YAL051W	351.917225672546	253.021059434533	200.043284627643	168.824864872773
gene-YAL049C	1795.99135860472	1289.7641292362	212.744445556382	252.808807804407
gene-YAL048C	171.239416323423	120.613852484682	88.9081265011746	71.9862367985429
gene-YAL047C	68.0912639711249	65.3995111250276	76.2069655724354	73.7001948175559
gene-YAL046C	25.6184953554727	103.459882353527	85.7328362689898	130.260809444982
gene-YAL044W-A	349.894712881325	247.660443768547	79.3822558046202	106.265397178801
gene-YAL044C	542.707598977777	816.957827496247	447.715922738058	373.642848144818
gene-YAL043C	428.098540808557	366.666111553434	396.911279023101	465.33960216201
gene-YAL042W	284.500132631829	457.260516308595	444.540632505873	509.045531646839
gene-YAL041W	111.912374447591	195.126410241886	393.735988790916	341.077645783572
gene-YAL040C	577.090316428543	326.46149405854	876.380104083007	632.45050901577
gene-YAL039C	504.954026874976	554.287659862939	441.365342273688	303.370569365288
gene-YAL038W	25412.1990507681	9683.41613903688	12634.4798338634	9443.05170575172
gene-YAL037C-A	14.1575895385507	8.5769850655774	19.0517413931089	9.4267691045711
gene-YAL037W	28.3151790771014	27.3391398965279	57.1552241793266	46.276866513349
gene-YAL036C	123.373280264513	132.94326851645	1435.23118494753	1372.02339421985
gene-YAL035W	981.59287467285	1141.81113685499	2965.72107686061	2513.51943488246
gene-YAL034W-A	47.8661360589096	72.9043730574079	44.4540632505873	40.2780134468038
gene-YAL034C	2731.06643907947	1123.04898202404	301.652572057557	282.803073137133
gene-YAL033W	43.1469395460593	62.7192032920347	104.784577662099	173.966738929812
gene-YAL032C	57.9787000150172	96.4910819877457	247.672638110415	212.530794357603
gene-YAL031C	326.972901247481	246.58832063535	155.589221377056	138.830599540047
gene-YAL030W	510.347394318233	424.560760746081	123.836319055208	149.114347654125
gene-YAL029C	188.76786051401	281.432322464258	549.325210167972	467.053560181023
gene-YAL028W	144.272579107136	86.3059122223726	19.0517413931089	30.8512443422327
gene-YAL027W	229.21811633844	244.980135935554	63.5058046436962	59.9885306654524
gene-YAL026C	149.665946550393	174.756070711139	187.342123698904	202.247046243525
gene-YNCA0001W	3.37085465203588	3.21636939959152	0	1.71395801901293
gene-YAL025C	91.0130756049689	137.767822615837	2698.99669735709	2484.38214855924
gene-YAL024C	28.3151790771014	50.9258488268658	101.609287429914	87.4118589696593
gene-YAL023C	320.905362873816	752.094377937818	1041.49519615662	994.095651027498
gene-YAL022C	22.2476407034368	30.0194477295209	114.310448358653	92.5537330266981
gene-YAL021C	537.988402464927	444.931100276827	349.281925540329	301.656611346275
gene-YAL020C	170.565245393016	165.106962512365	47.6293534827721	93.4107120362045
gene-YAL019W	138.879211663878	154.921792746992	466.767664131167	394.210344372973
gene-YAL018C	0	0	0	0.856979009506463
gene-YAL017W	1589.69505390012	922.02589454957	82.557546036805	77.9850898650882
gene-YAL016W	2632.63748324003	2149.07082049374	450.891212970243	526.185111836969
gene-YAL015C	156.407655854465	246.58832063535	107.959867894283	181.67955001537
gene-YAL014C	184.722834931566	248.732566901744	136.537479983947	171.395801901293
gene-YAL013W	306.747773335266	374.170973485814	498.520566453015	458.483770085958
gene-YAL012W	71.4621186231608	125.438406584069	2714.87314851801	2578.64983960495
gene-YAL011W	100.451468630669	108.284436452915	247.672638110415	218.529647424148
gene-YAL010C	124.047451194921	127.582652850464	60.3305144115114	88.2688379791657
gene-YAL009W	75.5071442056038	48.7816025604714	101.609287429914	120.834040340411
gene-YAL008W	950.58101187412	525.340335266616	127.011609287392	89.1258169886722
gene-YAL007C	79.5521697880469	272.855337398681	184.166833466719	228.813395538226
gene-YNCA0002W	0	0	0	0
gene-YAL005C	10152.3400410017	22459.371455781	933.535328262334	1358.31173006774
